OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_DISTRI,TIPO_DISTR,CODIGO_C17,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad
70,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6102,CODEGUA,3,RURAL,610203,162,122,284,0,0,0,162,122,284,0,128,128,0.92366996,222091308.847656,108201.41511629,152.15423584,1.86652696
71,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10209,QUEMCHI,9,RURAL,1020909,160,131,291,0,0,0,160,131,291,0,111,111,0.13470223,11831573.53125,16148.60600605,6.50477982,44.73633575
72,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,7,RURAL,1140207,160,135,295,0,0,0,160,135,295,0,258,258,1.32975124,952978921.792969,176007.1729678,453.97232056,0.64981937
73,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11201,AYSÉN,3,RURAL,1120103,163,141,304,0,0,0,163,141,304,0,221,221,1.73430054,1316012516.15625,223795.06878107,647.7119751,0.46934441
74,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,1,RURAL,1110201,169,139,308,0,0,0,169,139,308,0,218,218,2.42149238,2418154893.94141,303131.37848092,1235.58312988,0.24927503
75,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6204,MARCHIHUE,3,RURAL,620403,154,158,312,0,0,0,154,158,312,0,150,150,0.35958791,77224754.0585938,43388.65429939,52.31808472,5.963521
76,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,6,RURAL,620106,175,137,312,0,0,0,175,137,312,0,206,206,0.82756738,161949379.751953,98626.91295042,123.1233902,2.53404331
77,7,REGIÓN DEL MAULE,73,CURICÓ,7308,TENO,6,RURAL,730806,171,143,314,0,0,0,171,143,314,0,203,203,0.60283095,253532077.878906,72483.72660934,169.97781372,1.84729981
78,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6305,NANCAGUA,6,RURAL,630506,148,166,314,0,0,0,148,166,314,0,123,123,0.25234172,27778760.8632812,29883.5852243,18.72436714,16.76959229
79,7,REGIÓN DEL MAULE,73,CURICÓ,7306,ROMERAL,4,RURAL,730604,232,107,339,0,0,0,232,107,339,0,315,315,1.8930751,1753764205.33789,228418.58734519,1171.45849609,0.28938285
